,press company,date,title,url,abstract,date detail,head article,main article
0,https://www.blockmedia.co.kr/,2019. 9. 24.,독일 2위 증권거래소 비트코인 거래 서비스 개시,https://www.blockmedia.co.kr/archives/110023,"보도에 따르면, 슈투트가르트 증권거래소 디지털 거래소(BSDEX)는 독일 최초의 규제된 비트코인 거래소의 영업을 이날부터 시작했다. 
BSDEX는 ...",2019년 9월 24일,독일 2위 증권거래소 비트코인 거래 서비스 개시,"보도에 따르면, 슈투트가르트 증권거래소 디지털 거래소(BSDEX)는 독일 최초의 규제된 비트코인 거래소의 영업을 이날부터 시작했다.BSDEX는 일단 일부 승인된 이용자들에 한해 거래 서비스를 제공할 방침이며, 앞으로 보다 많은 개인 및 기관들로 이용 대상을 확대할 계획이라고 밝혔다.슈투트가르트 증권거래소는 지난해 말 유럽의 대형 은행인 솔라리스은행과 공동으로 암호화폐 거래소를 위한 인프라 개발 계획을 발표한 바 있다.이 은행은 2015년 은행 계열사로 핀테크 기업을 설립해 “플랫폼으로서의 뱅킹”(Banking as a Platform)서비스를 위한 사업 허가를 취득하기도 했다.솔라리스은행과 슈튜트가르트 증권거래소의 암호화폐 거래소 사업은 이 은행이 추진하고 있는 ‘블록체인 팩토리’ 이니셔티브의 일환인 것으로 알려졌다."
1,https://www.blockmedia.co.kr/,2019. 9. 25.,[상보] 폭락 장세 연출되며 비트코인 9천선도 붕괴돼,https://www.blockmedia.co.kr/archives/110271,"비트코인은 코인마켓캡 기준으로 뉴욕시간 오후 3시16분 기준 8866.41달러에 거래돼 전일(24시간 전) 대비 10.10% 급락했다. 
이 시간 이더리움은 ...",2019년 9월 25일,[상보] 폭락 장세 연출되며 비트코인 9천선도 붕괴돼,"비트코인이 24일(현지시간) 뉴욕장 후반들어 낙폭을 크게 확대하며 두자리 수의 하락률을 기록, 9천선도 하회했다.주요 알트코인들도 모두 두자릿 수 하락률을 기록하는 등, 시장 전반적으로 폭락 장세가 연출되고 있다.비트코인은 코인마켓캡 기준으로 뉴욕시간 오후 3시16분 기준 8866.41달러에 거래돼 전일(24시간 전) 대비 10.10% 급락했다.이 시간 이더리움은 16.3%, XRP 17.22%, 비트코인캐시 21.54%, 라이트코인 16.78%, EOS 24.41%, 비트코인SV가 30.19%나 폭락했다.반면 테더는 0.67% 올랐다. 출처: 코인마켓캡"
2,https://www.blockmedia.co.kr/,2019. 9. 26.,"비트코인, $7500 부근까지 추가 후퇴 위험 ... 추세의 약세 역전 ...",https://www.blockmedia.co.kr/archives/110456,"비트코인은 뉴욕시간 25일 오전 11시 코인마켓캡에서 전일(24시간 전) 대비 12.17% 떨어진 8424.54달러를 가리켰다. 출처: 
Coindesk. Created with ...",2019년 9월 26일,"비트코인, $7500 부근까지 추가 후퇴 위험 … 추세의 약세 역전 확인","비트코인은 뉴욕시간 25일 오전 11시 코인마켓캡에서 전일(24시간 전) 대비 12.17% 떨어진 8424.54달러를 가리켰다.출처: Coindesk. Created with TradingView코인데스크 일별 차트(위 왼쪽)에 따르면 비트코인은 전일 거래량 증가를 동반하며 지난 3개월간의 거래 범위였던 축소형 삼각 패턴의 하단 아래로 떨어졌다. 이는 지난 4월 저점(약 4000달러)에서 시작된 강세장의 종료가 기술적으로 확인됐음을 의미한다.비트코인은 현재 8309달러에 자리잡고 있는 200일 이동평균(MA) 주변을 맴돌고 있다. 비트코인의 200일MA가 시험 받는 것은 금년 4월 이후 처음이다. 또 전일 비트코인 거래량이 3개월 최고치를 기록함에 따라 비트코인이 200일MA 아래로 떨어질 가능성이 점쳐진다.코인데스크는 따라서 비트코인이 페이스북 리브라를 둘러싼 열기가 암호화폐시장을 휩쓸기 이전인 7500달러 지지선까지 낙폭을 키울 위험이 있다고 내다봤다.비트코인 월간 차트(위 오른쪽)도 추세의 약세 전환을 암시한다. 월간 차트의 7월과 8월 인사이드 바 캔들(inside-bar candlestick) 패턴은 강세 추세의 약세 전환 임박을 시사한다.비트코인의 9월 30일 종가가 9049달러(첫번째 인사이드 바의 저점) 보다 낮을 경우 비트코인 전망은 약세로 바뀌게 된다. 코인데스크는 일별 차트의 약세 구도가 강력하기 때문에 비트코인의 9월 종가가 9049달러 아래로 내려갈 것 같다고 밝혔다.비트코인이 5월 30일 만들어진, 상향 조정된 고점($9097) 위에 자리를 잡게 되면 약세 전망은 약화될 것으로 지적됐다. 또 비트코인이 200일MA에서 반등해 빠른 속도로 V 형태 회복세를 보이며 24일 고점 9782달러를 넘어서면 전망은 다시 강세 전환될 것으로 분석됐다. 그러나 코인데스크는 그렇게 될 가능성은 크지 않다고 내다봤다.*이미지 출처: Shutterstock"
3,https://www.blockmedia.co.kr/,2019. 9. 24.,프랑스 2020년 비트코인 결제 소매점 2만5000개 전망,https://www.blockmedia.co.kr/archives/110196,"크립토글로브는 비트코인 결제 서비스 제공 사업이 소비자들이 합법화되고 규제된 프레임워크에 따라 소매점들에서 암호화폐를 사용할 수 있는 
매장 ...",2019년 9월 24일,프랑스 2020년 비트코인 결제 소매점 2만5000개 전망,"보도에 따르면, 새로운 암호화폐 결제 시스템은 매장 POS 시스템 기술업체 글로벌 POS와 이지월렛 앱, 지불 플랫폼 이지2페이 등의 제휴를 통해 제공되고 있다.프랑스에서는 매장에서 비트코인으로 결제가 이루어지는 순간 해당 금액이 자동으로 유로화로 전환되며, 이 서비스는 프랑스 법에 따른 인가를 받은 회사들을 이용하도록 하고 있다.데카틀론, 세포라와 함께 비트코인 결제 서비스에는 불랑제, 풋로커, 메종듀몽드 등 프랑스의 유명 소매업체들이 참여하고 있다.크립토글로브는 비트코인 결제 서비스 제공 사업이 소비자들이 합법화되고 규제된 프레임워크에 따라 소매점들에서 암호화폐를 사용할 수 있는 매장 수를 400만개 이상으로 늘리는 것을 목표로 하고 있다고 전했다."
4,https://www.blockmedia.co.kr/,2019. 9. 25.,[전문가 코멘트] 비트코인은 초기 아마존과 비슷한 “창조적 파괴 ...,https://www.blockmedia.co.kr/archives/110236,"23일(현지시간) 커넨은 CNBC에 출연한 분산형 컴퓨터 네트워크 블록스택 PBC의 창업자 무니브 알리와의 대담에서 비트코인이 전적으로 
“디지털 ...",2019년 9월 25일,[전문가 코멘트] 비트코인은 초기 아마존과 비슷한 “창조적 파괴” – 조 커넨,"23일(현지시간) 커넨은 CNBC에 출연한 분산형 컴퓨터 네트워크 블록스택 PBC의 창업자 무니브 알리와의 대담에서 비트코인이 전적으로 “디지털 골드”라고 생각한다는 알리의 견해에 동의하는 발언을 했다.커넨은 “1998년 당시의 아마존을 생각해보라. 사람들은 그것에 대해 전혀 이해하지 못했다”고 강조했다.그는 지난 7월에도 같은 프로그램에서 “누구에게든 돈을 보낼 때 발생하는 마찰 저항을 0으로 만드는 일을 아마존이 소매업에서 가능하게 한 것처럼 다른 곳에서도 그렇게 할 수 있다”고 말했다.또한 커넨은 그러한 기술은 많은 사람들의 사업을 문 닫게 할 만큼 강력한 것으로서, 일종의 창조적 파괴라며, 누구도 이러한 추세를 막을 수 없을 것이라고 덧붙였다."
5,https://www.blockmedia.co.kr/,2019. 9. 26.,"CME 비트코인 선물 갭, 비트코인 $1만1800으로 반등 가능성 시사",https://www.blockmedia.co.kr/archives/110505,"[뉴욕 = 장도선 특파원] 시카고상품거래소(CME)의 비트코인 선물 차트에 남아 있는 가격 갭이 비트코인의 강력한 반등 가능성을 
시사한다는 견해가 ...",2019년 9월 26일,"CME 비트코인 선물 갭, 비트코인 $1만1800으로 반등 가능성 시사","선물 갭(futures gaps)은 전일 고점 보다 높은 수준, 또는 전일 저점 보다 낮은 수준에서 거래가 시작됨으로써 발생하는 시장의 진공 상태를 가리킨다. 암호화폐 분석가들은 비트코인이 지금까지 선물 시장의 갭을 메우는 행태를 보여왔으며 CME 선물 갭을 채우지 않는 경우는 아주 드물다고 지적한다.출처: Cryptoslate. Created with TradingView25일(현지시간) 크립토슬레이트에 따르면 CME 비트코인 선물 차트에 등장한 약세 갭(bearish gap)들은 거의 채워졌다. 반면 8월 9일 ~ 12일 형성된 1만1795달러와 1만1695달러 범위의 강세 갭은 아직 메워지지 않은 상태다.크립토슬레이트는 CME 비트코인 선물 갭이 항상 시간에 맞춰 채워지는 것은 아니며 전혀 메워지지 않는 경우도 있다고 밝혔다. 하지만 현재 차트에 100달러의 갭($1만1795 ~ $1만1695)이 남아 있다는 것은 비트코인이 CME 주문대장의 재균형을 이루기 위해 1만1700달러 위로 복귀할 가능성을 가리키는 것이라고 설명했다.암호화폐 분석가 크립토미스트는 지난달 트위터를 통해 1만1800달러와 8400달러 두 개의 갭을 가리키며 “실수하지 말아야 한다. 둘 다 메워질 것”이라고 전망한 바 있다.뉴욕 시간 25일 오후 2시 55분 비트코인은 코인마켓캡에서 전일(24시간 전) 대비 7.57% 내린 8391.46달러를 가리켰다.*이미지 출처: Shutterstock"
6,https://www.blockmedia.co.kr/,2019. 9. 24.,"비트코인 가격 지표, 작년 12월 이후 가장 약세 ... 최근 범위 아래 ...",https://www.blockmedia.co.kr/archives/110009,"[뉴욕 = 장도선 특파원] 비트코인의 주요 기술 지표들이 9개월래 가장 약세 신호를 보내면서 지난 3개월간 지속된 비트코인의 횡보 
장세가 조만간 하 ...",2019년 9월 24일,"비트코인 가격 지표, 작년 12월 이후 가장 약세 … 최근 범위 아래로 후퇴 가능성 시사",지난 4월 약 4000달러의 저점 부근에서 시작된 비트코인의 랠리는 6월 말 1만4000달러를 앞두고 동력을 상실했다. 비트코인은 이후 좁은 범위 내에서 다지기 성격의 움직임을 보여왔다.그러나 23일(현지시간) 코인데스크는 비트코인 주간 이동평균 수렴·발산지수(MACD)가 비트코인이 최근 범위를 뚫고 후퇴할 가능성을 시사한다고 보도했다. MACD는 추세 변화와 약세 및 강세 움직임의 모멘텀을 밝히기 위해 사용되는 지표다.주간 차트 출처: Coindesk. Created with TradingView주간차트의 MACD는 비트코인 약세 성향이 지난해 12월 이후 최고 수준임을 보여준다. 기술 분석가들은 이동평균에 기반을 둔 MACD는 후행 지표라고 주장하지만 코인데스크는 이 지표가 과거 신뢰할 만한 추세 역전 신호를 보낸 사실을 주목할 필요가 있다고 밝혔다.가격과 거래량을 모두 반영하는 차이킨 자금흐름지수는 현재 0.08로 4월 8일 이후 최저로 나타났다. 이는 비트코인 매수압력이 5.5개월 최저임을 의미한다.일별 차트 출처: Coindesk. Created with TradingView일별 차트의 기술 지표들도 약세다. MACD는 0 밑으로 내려갔고 14일 상대강도지수(RSI)도 50 아래 머물며 약세 신호를 보내고 있다. 때문에 비트코인은 계속 간격이 좁아지고 있는 삼각형 패턴의 하단 지지선(현재 9482달러) 아래로 떨어질 위험이 있는 것으로 분석된다.코인데스크는 비트코인의 UTC 종가가 9482달러 보다 낮아지면 비트코인이 9000달러 밑으로 추가 후퇴할 수도 있다고 내다봤다. 반면 비트코인이 거래량 증가를 수반하면서 현재의 삼각형 패턴 상단(1만758달러)을 뚫고 올라가면 강세장 재개를 의미한다고 설명했다. 이 경우 1만2000달러를 향한 비트코인의 추가 상승 문이 열릴 것으로 예상했다.비트코인은 뉴욕시간 23일 오전 11시 17분 코인마켓캡에서 전일(24시간 전) 대비 0.99% 내린 9921.46달러를 가리켰다.*이미지 출처: Shutterstock
7,https://www.blockmedia.co.kr/,2019. 9. 25.,"[9월 25일, 간추린 간밤의 블록체인&암호화폐 뉴스]",https://www.blockmedia.co.kr/archives/110333,"9월 25일, 간추린 간밤의 블록체인&암호화폐 뉴스입니다. [뉴욕 코인시황/마감] 폭락 장세 연출돼…비트코인, 8400선도 하회. 
[굿모닝 비트코인] ...",2019년 9월 25일,"[9월 25일, 간추린 간밤의 블록체인&암호화폐 뉴스] ","9월 25일, 간추린 간밤의 블록체인&암호화폐 뉴스입니다.[뉴욕 코인시황/마감] 폭락 장세 연출돼…비트코인, 8400선도 하회[굿모닝 비트코인] 0925 비트코인 1시간 동안 7800달러까지 급락, 백트가 원인인가, 추가 하락 가능할까 갑론을박[전문가 코멘트] “비트코인 폭락이 강세장 종료 의미 아냐” – 크립토 체비비트코인 해시율 급감 가격 폭락의 전조였나?백트 거래 부진 실망감이 암호화폐 시장 급락 요인 – 크립토브리핑기관투자자들의 비트코인 관심도 하락 … 리브라 논란 여파인 듯라이트코인 톱5 중 최대폭 하락 … 6월 이후 하락세 지속SEC, 윌셔 피닉스 비트코인 ETF 승인 결정 연기 "
8,https://www.blockmedia.co.kr/,2019. 9. 24.,"[굿모닝 비트코인] 0924 백트 런칭에도 잠잠한 시장, 더 기다려야 ...",https://www.blockmedia.co.kr/archives/110068,"굿모닝 비트코인! 어제 시작된 백트 플랫폼, 출시 이후 가격이 급등하는 등의 모습은 나타나지 않았습니다. 오히려 전반적인 암호화폐 
시장은 하락세 ...",2019년 9월 24일,"[굿모닝 비트코인] 0924 백트 런칭에도 잠잠한 시장, 더 기다려야 할까, 이오스 하드포크 완료","굿모닝 비트코인!어제 시작된 백트 플랫폼, 출시 이후 가격이 급등하는 등의 모습은 나타나지 않았습니다. 오히려 전반적인 암호화폐 시장은 하락세를 견지하고 있는데요.지금까지 반응은 다소 미온적입니다. 이달 초 박크트 웨어하우스도 문을 열었음에도 불구하고, 거래량이 크게 많지 않은 건데요.하지만, 기관 투자자들을 위한 새로운 거래 플랫폼이라는 점을 고려하고 기관투자자들은 서둘러 움직이지 않는다는 점을 고려했을 때 아직 우려할만한 일은 아니라는 분석입니다.그 밖에 어떤 소식들이 있는지 영상으로 함께 살펴보시죠! "
9,https://www.blockmedia.co.kr/,2019. 9. 23.,"국제회계기준위원회 ""암호화폐는 화폐·금융상품 아니다""",https://www.blockmedia.co.kr/archives/109927,"[블록미디어 김진배·문정은 기자] 비트코인과 같은 암호화폐를 화폐나 금융상품으로 볼 수 없다는 국제 회계기준이 나왔다. 이번 발표로 
그간 암호 ...",2019년 9월 23일,국제회계기준위원회 “암호화폐는 화폐·금융상품 아니다”,"23일 한국회계기준원과 금융감독원에 따르면 국제회계기준위원회(IASB) 산하 국제회계기준(IFRS) 해석위원회는 지난 6월 영국 런던에서 열린 회의에서 가상통화에 대해 금융자산으로 분류할 수 없다고 결론지었다.IASB는 우리나라 포함 전 세계 130여 개국이 사용하는 회계기준인 IFRS를 제정하는 기구다. 암호화폐 관련 규정이 없는 상황에서 IASB는 기존 기준서를 어떻게 적용할지, 새 기준서를 제정할지 등을 두고 여러 논의를 거쳐 이번에 최종 유권해석을 내렸다.IFRS 해석위원회는 일부 암호화폐는 재화·용역과의 교환 수단으로 사용될 수는 있지만, 현금처럼 재무제표에 모든 거래를 인식하고 측정하는 기준은 아니라고 판단했다.위원회는 또 “다른 기업의 주식(지분 상품)이나 거래 상대방에게서 현금 등 금융자산을 수취할 계약상의 권리와 같은 금융자산 정의도 충족하지 못한다”고 판단했다. 따라서 암호화폐는 현금이나 은행의 예금, 주식, 채권, 보험, 신탁 등 금융상품과도 다르다는 게 IFRS 해석위원회의 결론이다.다만 위원회는 암호화폐를 무형자산이나 재고자산으로 분류하기로 결론을 내렸다. 통상적인 영업 과정에서 판매를 위해 ‘보유’하거나 중개기업으로서 ‘매매’하는 경우는 재고자산으로 분류한다. 재고자산은 판매를 위해 가지고 있는 상품이나 제품, 원재료 등을 지칭한다.그 외에는 모두 무형자산에 해당한다고 위원회는 판단했다. 무형자산은 물리적 실체는 없지만, 식별할 수 있는 비화폐성 자산을 뜻한다. 영업권이나 특허권, 상표권 등이 해당된다. 가상통화는 식별가능성과 비화폐성을 충족한다는 해석이다. 가상통화의 식별가능성은 분리가능성을 통해 확인 가능하며, 가상화폐는 보유자로부터 분리가 가능하므로 식별 가능하다는 해석이다. 또 확정되었거나 결정 가능한 화폐 단위의 수량을 받을 권리가 확정되지 않았으므로 비화폐성 자산에 해당한다.이에 따라 IFRS 적용 의무 대상인 국내 상장사들은 암호화폐를 무형자산이나 재고자산으로 회계 처리해야 한다. 다만 외부감사 대상 법인 중 IFRS 대신 일반기업회계기준을 적용하는 비상장사는 종전처럼 자율적으로 회계 처리할 수 있다.실제 국내 거래소를 운영하는 비상장사들은 자체 회계기준을 만들어 감사보고서를 작성하고 있다. 국내 암호화폐 거래소 빗썸을 운영하는 비상장사 비티씨코리아닷컴은 주석을 통해 “현행 일반기업회계기준에는 암호화폐에 대해 구체적으로 적용할 수 있는 규정이 없으므로 회계정책을 별도 개발해 적용하고 있다”고 설명했다.암호화폐를 무형자산이나 재고자산으로 규정함에 따라 ‘과세 기준’도 보다 명확해질 전망이다. 상품 같은 재고자산이나 무형자산으로 보면 과세 대상이 될 수 있다는 이유에서다. 다만 정부는 현재까지 암호화폐에 부가세를 매기는 국가가 거의 없고, 이중과세 논란이 벌어질 수 있어 암호화폐에 대한 부가세 부과는 고려하지 않고 있다. 기사제보 및 보도자료 : press@blockmedia.co.kr

"
