,period,username,date,retweets,favorites,hashtags,text
1,201912,officialmcafee,2019-08-05 07:16:06+00:00,136,863,,"BTC waking up again. Up and down but long term steady growth is apparent. The ""Thin Air"", as @realDonaldTrump calls Bitcoin, appears to have an energy based on some real substance. "
2,201912,officialmcafee,2019-08-04 13:45:29+00:00,0,7,,Gotta love Andre.
3,201912,SatoshiLite,2019-08-07 23:34:20+00:00,0,6,,From all Bitcoin developers. This is open source. We merge in all the great work Bitcoin developers work on.
4,201912,SatoshiLite,2019-08-07 02:04:24+00:00,50,292,,What do you mean? We get all the code from Bitcoin. So everything that goes into Bitcoin makes its way into Litecoin. We've never had a lot of our own coders and don't need it. So stories about Litecoin losing 40 devs is just stupid FUD that you fell for.
5,201912,SatoshiLite,2019-08-05 17:57:35+00:00,4,12,,"We don't work on the master github repository, so it's normal to see no recent development there. When we merge in the latest code for 0.18, it will be there. Litecoin benefits from all the Bitcoin development. So there's no reason to be worried."
6,201912,SatoshiLite,2019-08-05 17:55:09+00:00,0,4,,"It's about sound money. People in many of those countries have to deal with runaway inflation, which erodes all their savings. So being able to move their money to a more sound form of money like Bitcoin and Litecoin is very much needed."
7,201912,SatoshiLite,2019-08-05 17:43:48+00:00,0,3,,"I left Google to focus full time on cryptocurrencies. At the time, Coinbase was focused on making Bitcoin easy to use. I believed ease of use was extremely important for Bitcoin to be successful. So I joined Coinbase in 2013 to help make that happen."
8,201912,naval,2019-08-05 00:58:45+00:00,0,3,,"More like, lucky that buying or mining Bitcoin didn't fall under Accredited Investor rules."
9,201912,rogerkver,2019-08-07 20:04:16+00:00,65,372,,Let’s scale Bitcoin to be cash for the world: 
10,201912,rogerkver,2019-08-06 19:03:36+00:00,296,1328,,Bitcoin Cash is Lightning fast. 
11,201912,rogerkver,2019-07-31 16:08:02+00:00,28,149,,"How many government intelligence agents have blown the whistle on the illegal spying? Basically only @Snowden. Of course governments are trying to intentionally disrupt Bitcoin's usefulness in commerce, and here is some proof: "
12,201912,aantonop,2019-08-05 19:07:23+00:00,132,525,#bitcoin #bitcoin #ethereum #lightning #blockchain #education #BTC2019,This is the absolute best time to invest... ...in education: http://blockchaintraining.org/schedule #bitcoin #ethereum #lightning #blockchain #education #BTC2019
13,201912,aantonop,2019-08-04 15:00:00+00:00,76,214,,Bitcoin Q&amp;A: Universal basic finance and encryption backdoors 
14,201912,aantonop,2019-07-31 18:30:00+00:00,43,108,,Bitcoin Q&amp;A: Backwards privacy and the importance of earning 
15,201912,ErikVoorhees,2019-08-02 15:41:05+00:00,13,34,#bitcoin #bitcoin,Impressive thread from back in Feb... #bitcoin 
16,201912,ErikVoorhees,2019-07-31 19:25:44+00:00,502,2441,,The Fed just cut rates for the first time since Bitcoin was invented.
17,201912,ErikVoorhees,2019-07-31 16:13:22+00:00,9,50,#NotYourKeysNotYourCoins #bitcoin #bitcoin,"Try your @Trezor on the new http://ShapeShift.com platform. It's the best way to hodl, trade, and track your portfolio while retaining control of your keys. #NotYourKeysNotYourCoins #bitcoin "
18,201912,ErikVoorhees,2019-07-31 15:37:59+00:00,0,2,,Can you pay with Bitcoin?
